id,date,title,category
22620,2020-04-27,Public hearing regarding FY 2020-21 proposed real estate tax rate,"Budget, Taxes & Finance"
22701,2020-05-11,Correct Date on Motion to Adopt the Town of Vienna FY 2020-21 Tax Rates and Motion to Adopt FY 2020-21 Budget,"Budget, Taxes & Finance"
22806,2020-06-01,Request appropriation of federal CARES Act funding,"Budget, Taxes & Finance"
22913,2020-06-15,Request additional FY20 spending with James G Walters Contractor,"Budget, Taxes & Finance"
22924,2020-06-15,Intent to Adopt Real Estate Tax Rate for FY 2020-21,"Budget, Taxes & Finance"
22925,2020-06-15,Adopt FY 2020-21 Budget,"Budget, Taxes & Finance"
23018,2020-07-06,Request approval of spending of CARES Act funds for procurement of network upgrades to improve information technology infrastructure security and performance,"Budget, Taxes & Finance"
23019,2020-07-06,Request appropriation for annual audit contract with Robinson Farmer Cox Associates,"Budget, Taxes & Finance"
23025,2020-07-06,Increase Appropriation for Supplemental Legal Services,"Budget, Taxes & Finance"
23030,2020-07-06,Rollover of Federal CARES Act Funding,"Budget, Taxes & Finance"
23031,2020-07-06,Set a public hearing for August 31 to amend the 2019-20 budget related to federal CARES Act spending,"Budget, Taxes & Finance"
23032,2020-07-06,Set a public hearing for August 31 to amend the 2020-21 budget related to federal CARES Act spending,"Budget, Taxes & Finance"
23034,2020-07-06,"Approve CARES funding certification, including a $1 million appropriation to the RISE grant program","Budget, Taxes & Finance"
23254,2020-08-31,"Approve transfer of spending for 2021, utilizing IFB 20-03 for roadway maintenance, from the general fund to the capital project fund","Budget, Taxes & Finance"
23256,2020-08-31,"Public hearing to amend the FY 2019-20 budget for use of Coronavirus Aid, Relief, and Economic Security Funds (CARES Act Funds)","Budget, Taxes & Finance"
23257,2020-08-31,Public hearing to amend FY 2020-21 budget for use of CARES Act funding and supplemental appropriations,"Budget, Taxes & Finance"
23265,2020-08-31,"Approval to publish a list of delinquent real estate tax payments as of June 30, 2020 (Consent)","Budget, Taxes & Finance"
23303,2020-08-31,"Public hearing to amend the FY 2019-20 budget for use of Coronavirus Aid, Relief, and Economic Security Funds (CARES Act Funds)","Budget, Taxes & Finance"
23304,2020-08-31,Public hearing to amend FY 2020-21 budget for use of CARES Act funding and supplemental appropriations,"Budget, Taxes & Finance"
23367,2020-09-14,2020 Investment Report,"Budget, Taxes & Finance"
23368,2020-09-14,2020-21 financial review for first two months of fiscal year,"Budget, Taxes & Finance"
23666,2020-10-26,Financial Review First Quarter 2020-21,"Budget, Taxes & Finance"
23667,2020-10-26,Approval of FY 2020-21 Capital Improvement Plan (CIP),"Budget, Taxes & Finance"
23675,2020-10-26,"Town Meeting with Restaurant Owners, Landlords, and Tenants to Find Financial Ways to Survive During the Upcoming Winter Season. (Requested By Councilmember Brill)","Budget, Taxes & Finance"
23697,2020-10-26,"Town Meeting with Restaurant Owners, Landlords, and Tenants to Find Financial Ways to Survive During the Upcoming Winter Season. (Requested By Councilmember Brill)","Budget, Taxes & Finance"
23785,2020-11-16,Presentation of Certificate of Achievement for Excellence in Financial Reporting,"Budget, Taxes & Finance"
23885,2020-12-07,Presentation of 2020 Comprehensive Annual Financial Report (CAFR),"Budget, Taxes & Finance"
23976,2021-01-04,"Council Acceptance of $49,290.06 in Coronavirus Relief Funds for Utility Relief","Budget, Taxes & Finance"
24099,2021-02-01,"Approve Spending For Temporary Help with VAPFS, LLC-Hire Strategy","Budget, Taxes & Finance"
24104,2021-02-01,Increase annual fee to auditors to meet federal audit requirements,"Budget, Taxes & Finance"
24240,2021-02-22,Amend sub recipient agreement with Fairfax County for CARES Act funds spending date extension,"Budget, Taxes & Finance"
24245,2021-02-22,Financial Report on First Seven Months of Fiscal 2021,"Budget, Taxes & Finance"
24647,2021-03-22,"Request to set a public hearing for April 12, 2021 regarding the FY 2021-22 operating budget","Budget, Taxes & Finance"
24649,2021-03-22,"Request to set a public hearing for April 26, 2021 regarding the FY 2021-22 real estate tax rate","Budget, Taxes & Finance"
24650,2021-03-22,"Approve an increase in spending for temporary help with VAPFS, LLC-Hire Strategy","Budget, Taxes & Finance"
24806,2021-04-12,Public hearing on FY 2021-22 proposed budget,"Budget, Taxes & Finance"
24998,2021-04-26,Public hearing on the FY 2021-22 proposed real estate tax rate,"Budget, Taxes & Finance"
25002,2021-04-26,Financial Report on First Three Quarters of Fiscal 20-2021,"Budget, Taxes & Finance"
25176,2021-05-17,Intent to Adopt Real Estate Tax Rate for FY 2021-22,"Budget, Taxes & Finance"
25180,2021-05-17,Adopt FY 2021-22 Budget,"Budget, Taxes & Finance"
25181,2021-05-17,Consider Unfreezing Portion of 2021-22 Budget,"Budget, Taxes & Finance"
25183,2021-05-17,Request additional FY21 spending with Arthur Construction utilizing IFB 20-03 and IFB 17-03.,"Budget, Taxes & Finance"
25185,2021-05-17,Approve Spending with Spotted MP To Partially Cover Vacant Communications Manager Position,"Budget, Taxes & Finance"
25704,2021-07-12,Renewal of Annual Audit Contract to Robinson Farmer Cox Associates PLLC.,"Budget, Taxes & Finance"
25710,2021-07-12,"Set Public Hearing to Amend 2022 Budget for American Rescue Plan (ARPA) Funds and Other Supplemental Appropriations for August 30, 2021","Budget, Taxes & Finance"
25712,2021-07-12,Council Acceptance of American Recovery Plan (ARPA) Funds,"Budget, Taxes & Finance"
25713,2021-07-12,Preliminary Results for FY 2020-21,"Budget, Taxes & Finance"
25716,2021-07-12,Increase 2021 Spending with Sprint,"Budget, Taxes & Finance"
25969,2021-08-30,"Approval to Publish a list of Delinquent Real Estate Tax Payments as of June 30, 2021 (Consent)","Budget, Taxes & Finance"
25970,2021-08-30,Public Hearing to Amend FY 2021-22 Budget for Award of American Rescue Plan Act Funds and Supplemental Appropriations,"Budget, Taxes & Finance"
26117,2021-09-13,"Award of IFB 22-01 to Midlantic Marking, Inc. and request fiscal year spending","Budget, Taxes & Finance"
26673,2021-10-25,"Award of IFB 22-05 to Arthur Construction Co, Inc. and request fiscal year spending","Budget, Taxes & Finance"
26675,2021-10-25,Adopt 2022 Capital Improvement Plan (CIP),"Budget, Taxes & Finance"
26842,2021-11-15,Set Public Hearing for Budget Carryforward Supplemental Appropriation from FY 2021 To FY 2022,"Budget, Taxes & Finance"
26844,2021-11-15,Request fiscal year spending for deicing road salt.,"Budget, Taxes & Finance"
26849,2021-11-15,Approve Supplemental Legal Invoices for FY 2021,"Budget, Taxes & Finance"
26998,2021-12-06,Presentation of 2021 Annual Comprehensive Financial Report (ACFR),"Budget, Taxes & Finance"
